"x","y","pop","dist_uc","dist_hf","dist_hf.sd","dist_uc.sd","preval","incid"
0,0,0.053845553848584,9.48683298050514,11.8585412256314,1.13078554787379,-0.331981380078963,0.545054377840079,0.0293487548523944
0.15,0,0.0624816126120734,9.34465087630351,11.811964273566,1.12107109254184,-0.353093427249106,0.541914757295695,0.0338597079341154
0.3,0,0.0723217483202351,9.20271699010678,11.7671151944731,1.11171701598236,-0.374168617528873,0.538808910708928,0.0389676024329911
0.45,0,0.0835025828987819,9.06104298632337,11.7240138178015,1.10272745398109,-0.395205218917306,0.535738623650716,0.0447355588334732
0.6,0,0.096171238817848,8.9196412483911,11.6826794871725,1.09410644099579,-0.416201392647671,0.532705675911445,0.0512309647777027
0.75,0,0.110485381946736,8.77852493303972,11.643131022195,1.08585790219205,-0.437155185130234,0.529711839917915,0.0585254149550391
0.9,0,0.126613129668854,8.63770802933278,11.6053866803308,1.07798564548966,-0.458064519185372,0.526758879246506,0.066694590282258
1.05,0,0.144732805319541,8.49720542296113,11.5694641189642,1.07049335365152,-0.478927184496892,0.523848547246732,0.0758180698055856
1.2,0,0.165032520045474,8.35703296631047,11.5353803578382,1.06338457644904,-0.499740827207981,0.520982585789895,0.0859790690327137
1.35,0,0.187709563629639,8.2172075548814,11.5031517420227,1.05666272293852,-0.520502938573901,0.518162724157973,0.0972640988408382
1.5,0,0.212969586730058,8.07774721070176,11.4727939055838,1.0503310538837,-0.54121084257643,0.515390678088343,0.109762539716999
1.65,0,0.241025558387973,7.93867117343954,11.4443217361275,1.04439267436074,-0.561861682394869,0.512668148990455,0.123566126878153
1.8,0,0.27209648460952,7.8,11.417749340391,1.03885052658166,-0.582452405617272,0.509996823351059,0.138768342795845
1.95,0,0.306405876342344,7.66175567347328,11.3930900110549,1.03370738297246,-0.602979748063251,0.507378372345063,0.155463714815541
2.1,0,0.3441799582722,7.52396172239067,11.3703561949483,1.02896583954166,-0.623440216076096,0.504814451669709,0.173747016910884
2.25,0,0.385645613558133,7.38664335134708,11.3495594628162,1.02462830957482,-0.64383006712717,0.502306701620297,0.193712376140722
2.4,0,0.431028063897052,7.24982758415674,11.3307104808128,1.02069701768891,-0.664145288559296,0.499856747426293,0.215452286069033
2.55,0,0.4805482891313,7.11354342082763,11.3138189838798,1.01717399427993,-0.684381574278259,0.497466199867365,0.239056531246912
2.7,0,0.534420195940016,6.9778220097678,11.2988937511599,1.0140610703949,-0.704534299182583,0.495136656189523,0.264611028817889
2.85,0,0.592847550921519,6.84269683677423,11.285942583586,1.01135987305771,-0.724598491101339,0.492869701342284,0.292196595364194
3,0,0.656020699495084,6.70820393249937,11.2749722837797,1.00907182107662,-0.744568799988269,0.490666909558604,0.321887649227727
3.15,0,0.724113098422475,6.57438210024334,11.2659886383752,1.00719812135755,-0.764439464097852,0.488529846299928,0.353750860676096
3.3,0,0.797277696250106,6.44127316607517,11.2589964028771,1.00573976574593,-0.784204272845798,0.48646007058955,0.3878437643973
3.45,0,0.875643202462413,6.30892225344393,11.2539992891416,1.00469752841567,-0.803856526033159,0.484459137757987,0.424213350848583
3.6,0,0.959310292461513,6.1773780845922,11.2509999555595,1.00407196382166,-0.823388989090652,0.482528602624597,0.462894654904848
3.75,0,1.04834780148129,6.04669331122391,11.25,1.00386340522807,-0.842793843979128,0.48067002313977,0.503909361996539
