"x","y","pop","wealth","dist.orig","preval","incid"
0,0,323.541598832466,0.2,0.790569415042095,0.676250534459963,218.795179130486
0.01,0,349.383943406815,0.2,0.787464284904401,0.674990417940597,235.8308139819
0.02,0,376.768934286828,0.2,0.784474346298207,0.673774649202791,253.857356529617
0.03,0,405.729953459157,0.2,0.781600921186765,0.672604050482131,272.895610098555
0.04,0,436.295191001091,0.2,0.77884529914483,0.671479421612925,292.963242505913
0.05,0,468.487048120259,0.2,0.776208734813001,0.670401538645881,314.074437895489
0.06,0,502.321541629205,0.2,0.773692445355388,0.669371152476557,336.239549234142
0.07,0,537.807715890258,0.2,0.771297607930946,0.668388987489477,359.464754687918
0.08,0,574.947068639949,0.2,0.769025357189215,0.667455740222983,383.751721288111
0.09,0,613.73299741949,0.2,0.766876782801514,0.666572078059997,409.0972794639
0.1,0,654.150273589335,0.2,0.764852927038918,0.66573863794996,435.493112153958
0.11,0,696.174551083335,0.2,0.762954782408499,0.664956025167277,462.925462310988
0.12,0,739.771917153376,0.2,0.761183289359403,0.664224812111603,491.374862676642
0.13,0,784.898492361716,0.2,0.75953933407033,0.663545537155294,520.815891726535
0.14,0,831.500086989407,0.2,0.758023746329889,0.662918703543263,551.216959663128
0.15,0,879.511920840329,0.2,0.756637297521078,0.662344778350399,582.540128265521
0.16,0,928.858413128011,0.2,0.75538069872085,0.66182419150152,614.74096828783
0.17,0,979.453048734638,0.2,0.754254598925323,0.661357334858662,647.768457930331
0.18,0,1031.1983266283,0.2,0.753259583410659,0.660944561380259,681.564925689398
0.19,0,1083.98579561716,0.2,0.752396172239067,0.660586184356466,716.066040623348
0.2,0,1137.6961819118,0.2,0.751664818918645,0.66028247672459,751.200852752833
0.21,0,1192.19961216492,0.2,0.751065909225016,0.660033670468183,786.891885947957
0.22,0,1247.35593476933,0.2,0.750599760191808,0.659839956103007,823.05528524302
0.23,0,1303.01514123078,0.2,0.750266619276108,0.659701482252592,859.601020067517
0.24,0,1359.01788840437,0.2,0.750066663703967,0.659618355315702,896.433144393908
0.25,0,1415.19612130664,0.2,0.75,0.659590639227495,933.450114284918
0.26,0,1471.37379510739,0.2,0.750066663703967,0.659618355315702,970.545162783359
0.27,0,1527.36769378378,0.2,0.750266619276108,0.659701482252592,1007.60673153388
