"x","y","pop","dist_uc","dist_hf"
0,0,0.053845553848584,9.48683298050514,11.8585412256314
0.15,0,0.0624816126120734,9.34465087630351,11.811964273566
0.3,0,0.0723217483202351,9.20271699010678,11.7671151944731
0.45,0,0.0835025828987819,9.06104298632337,11.7240138178015
0.6,0,0.096171238817848,8.9196412483911,11.6826794871725
0.75,0,0.110485381946736,8.77852493303972,11.643131022195
0.9,0,0.126613129668854,8.63770802933278,11.6053866803308
1.05,0,0.144732805319541,8.49720542296113,11.5694641189642
1.2,0,0.165032520045474,8.35703296631047,11.5353803578382
1.35,0,0.187709563629639,8.2172075548814,11.5031517420227
1.5,0,0.212969586730058,8.07774721070176,11.4727939055838
1.65,0,0.241025558387973,7.93867117343954,11.4443217361275
1.8,0,0.27209648460952,7.8,11.417749340391
1.95,0,0.306405876342344,7.66175567347328,11.3930900110549
2.1,0,0.3441799582722,7.52396172239067,11.3703561949483
2.25,0,0.385645613558133,7.38664335134708,11.3495594628162
2.4,0,0.431028063897052,7.24982758415674,11.3307104808128
2.55,0,0.4805482891313,7.11354342082763,11.3138189838798
2.7,0,0.534420195940016,6.9778220097678,11.2988937511599
2.85,0,0.592847550921519,6.84269683677423,11.285942583586
3,0,0.656020699495084,6.70820393249937,11.2749722837797
3.15,0,0.724113098422475,6.57438210024334,11.2659886383752
3.3,0,0.797277696250106,6.44127316607517,11.2589964028771
3.45,0,0.875643202462413,6.30892225344393,11.2539992891416
3.6,0,0.959310292461513,6.1773780845922,11.2509999555595
3.75,0,1.04834780148129,6.04669331122391,11.25
3.9,0,1.14278896603058,5.91692487699481,11.2509999555595
4.05,0,1.24262777626094,5.78813441447242,11.2539992891416
4.2,0,1.34781550659039,5.66038867923396,11.2589964028771
4.35,0,1.4582574948122,5.53376002370902,11.2659886383752
4.5,0,1.57381024161433,5.40832691319598,11.2749722837797
4.65,0,1.69427890278472,5.28417448614256,11.285942583586
4.8,0,1.81941524525668,5.16139516022558,11.2988937511599
4.95,0,1.94891613546052,5.04008928492343,11.3138189838798
5.1,0,2.08242262412942,4.92036584005702,11.3307104808128
5.25,0,2.21951968573315,4.80234317807464,11.3495594628162
5.4,0,2.35973666309669,4.68614980554399,11.3703561949483
5.55,0,2.50254845856058,4.57192519623845,11.3930900110549
5.7,0,2.64737750235872,4.45982062419555,11.417749340391
5.85,0,2.79359651687497,4.35,11.4443217361275
6,0,2.94053208228518,4.24264068711928,11.4727939055838
6.15,0,3.08746899502862,4.13793426724012,11.5031517420227
6.3,0,3.23365539585342,4.03608721412211,11.5353803578382
6.45,0,3.37830862914764,3.93732142452201,11.5694641189642
6.6,0,3.52062178022785,3.84187454245971,11.6053866803308
6.75,0,3.65977082255691,3.75,11.643131022195
6.9,0,3.79492229285515,3.66196668472011,11.6826794871725
7.05,0,3.92524139910733,3.57805813256297,11.7240138178015
7.2,0,4.04990045489426,3.49857113690718,11.7671151944731
7.35,0,4.16808752361244,3.423813663154,11.811964273566
7.5,0,4.27901514827978,3.35410196624968,11.8585412256314
7.65,0,4.38192903700929,3.2897568299192,11.9068257734797
7.8,0,4.47611657106853,3.2310988842807,11.9567972300278
7.95,0,4.56091500187635,3.17844301506256,12.0084345357753
8.1,0,4.63571920540622,3.13209195267316,12.0617162957848
8.25,0,4.69998886728549,3.09232921921325,12.1166208160526
8.4,0,4.75325497935578,3.05941170815567,12.1731261391641
8.55,0,4.79512553847462,3.0335622624235,12.2312100791377
8.7,0,4.82529035071129,3.01496268633627,12.2908502553729
8.85,0,4.84352485857683,3.00374765917512,12.3520241256241
9,0,4.84969292522838,3,12.4147090179351
9.15,0,4.84374852735387,3.00374765917512,12.4788821614758
9.3,0,4.8257363272846,3.01496268633627,12.544520716233
9.45,0,4.79579111438337,3.0335622624235,12.6116018015159
9.6,0,4.75413612547846,3.05941170815567,12.6801025232448
9.75,0,4.70108027361681,3.09232921921325,12.75
9.9,0,4.63701433325749,3.13209195267317,12.8212713878149
10.05,0,4.56240614780095,3.17844301506256,12.893893903705
10.2,0,4.47779494166159,3.2310988842807,12.9678448479306
10.35,0,4.38378483359198,3.2897568299192,13.043101624997
10.5,0,4.28103766035624,3.35410196624969,13.1196417634019
10.65,0,4.17026522988306,3.423813663154,13.1974429341445
